name,type,color,sku,simples_skus,body_type,Color Description,description,neck,fingerboard,scale_length,body_material,pickups,bridge,tuning_machines,Options,msrp,visibility,country_of_manufacture,_attribute_set,_product_websites,custom_design,enable_googlecheckout,msrp_display_actual_price_type,msrp_enabled,options_container,price,short_description,status,tax_class_id,weight,qty,min_qty,use_config_min_qty,is_qty_decimal,backorders,use_config_backorders,min_sale_qty,use_config_min_sale_qty,max_sale_qty,use_config_max_sale_qty,is_in_stock,manage_stock,use_config_manage_stock,stock_status_changed_auto,use_config_qty_increments,qty_increments,use_config_enable_qty_inc,enable_qty_increments,is_decimal_divided
Maranello Speedster,simple,RRD,MRGS-RRD,,solid_body,Racing Red,"Loud in every sense of the word, the Maranello Speedster manages to combine classy minimalism with exuberant self-confidence. A true 'players' instrument with a fantastic neck, great sustain and awesome tone, delivered via the 'Vintage Voiced' Wilkinson Humbucker. From the 'go-faster' stripes for those fiery solos..... to the checkered flag-taking formula with the ‘go-faster’ Speedster II. The guitar features a distinctive Korina body with 'cut off' upper and lower body horns and a set maple neck, topped off with a ‘speed accessible’ rosewood fingerboard. Don’t miss those go-faster 'accelerating' split-block slim fret markers! Topping off the retro vibe is the solid-mounted Wilkinson Intonated Wrapover Bridge. The Maranello Speedster M comes in the choice of alluring 'Italia-Marbling' color patterns, making a vivid visual and sonic statement of intent.",Speed accessable Set Neck w/Hardrock Maple,22fret Rosewood,25.5in. / 635mm,Korina,Wilkinson WVC Humbuckers / Italia Itron for Speedster M,Combination,Italia Machines,Speedster 2 with Two of WVC Humbuckers,1001,1,KR,Default,base,shopper/default,1,Use config,Use config,container1,901.01,"Loud in every sense of the word, the Maranello Speedster manages to combine classy minimalism with exuberant self-confidence. A true 'players' instrument with a fantastic neck, great sustain and awesome tone, delivered via the 'Vintage Voiced' Wilkinson Humbucker. From the 'go-faster' stripes for those fiery solos..... to the checkered flag-taking formula with the ‘go-faster’ Speedster II. The guitar features a distinctive Korina body with 'cut off' upper and lower body horns and a set maple neck, topped off with a ‘speed accessible’ rosewood fingerboard. Don’t miss those go-faster 'accelerating' split-block slim fret markers! Topping off the retro vibe is the solid-mounted Wilkinson Intonated Wrapover Bridge. The Maranello Speedster M comes in the choice of alluring 'Italia-Marbling' color patterns, making a vivid visual and sonic statement of intent.",1,2,,1,0,1,0,0,1,1,1,0,1,1,0,1,0,1,0,1,0,0
Maranello Speedster,simple,RBK,MRGS-RBK,,solid_body,Racing Black,"Loud in every sense of the word, the Maranello Speedster manages to combine classy minimalism with exuberant self-confidence. A true 'players' instrument with a fantastic neck, great sustain and awesome tone, delivered via the 'Vintage Voiced' Wilkinson Humbucker. From the 'go-faster' stripes for those fiery solos..... to the checkered flag-taking formula with the ‘go-faster’ Speedster II. The guitar features a distinctive Korina body with 'cut off' upper and lower body horns and a set maple neck, topped off with a ‘speed accessible’ rosewood fingerboard. Don’t miss those go-faster 'accelerating' split-block slim fret markers! Topping off the retro vibe is the solid-mounted Wilkinson Intonated Wrapover Bridge. The Maranello Speedster M comes in the choice of alluring 'Italia-Marbling' color patterns, making a vivid visual and sonic statement of intent.",Speed accessable Set Neck w/Hardrock Maple,22fret Rosewood,25.5in. / 635mm,Korina,Wilkinson WVC Humbuckers / Italia Itron for Speedster M,Combination,Italia Machines,Speedster 2 with Two of WVC Humbuckers,1001,1,KR,Default,base,shopper/default,1,Use config,Use config,container1,901.01,"Loud in every sense of the word, the Maranello Speedster manages to combine classy minimalism with exuberant self-confidence. A true 'players' instrument with a fantastic neck, great sustain and awesome tone, delivered via the 'Vintage Voiced' Wilkinson Humbucker. From the 'go-faster' stripes for those fiery solos..... to the checkered flag-taking formula with the ‘go-faster’ Speedster II. The guitar features a distinctive Korina body with 'cut off' upper and lower body horns and a set maple neck, topped off with a ‘speed accessible’ rosewood fingerboard. Don’t miss those go-faster 'accelerating' split-block slim fret markers! Topping off the retro vibe is the solid-mounted Wilkinson Intonated Wrapover Bridge. The Maranello Speedster M comes in the choice of alluring 'Italia-Marbling' color patterns, making a vivid visual and sonic statement of intent.",1,2,,1,0,1,0,0,1,1,1,0,1,1,0,1,0,1,0,1,0,0
Maranello Speedster,simple,RYL,MRGS-RYL,,solid_body,Racing Yellow,"Loud in every sense of the word, the Maranello Speedster manages to combine classy minimalism with exuberant self-confidence. A true 'players' instrument with a fantastic neck, great sustain and awesome tone, delivered via the 'Vintage Voiced' Wilkinson Humbucker. From the 'go-faster' stripes for those fiery solos..... to the checkered flag-taking formula with the ‘go-faster’ Speedster II. The guitar features a distinctive Korina body with 'cut off' upper and lower body horns and a set maple neck, topped off with a ‘speed accessible’ rosewood fingerboard. Don’t miss those go-faster 'accelerating' split-block slim fret markers! Topping off the retro vibe is the solid-mounted Wilkinson Intonated Wrapover Bridge. The Maranello Speedster M comes in the choice of alluring 'Italia-Marbling' color patterns, making a vivid visual and sonic statement of intent.",Speed accessable Set Neck w/Hardrock Maple,22fret Rosewood,25.5in. / 635mm,Korina,Wilkinson WVC Humbuckers / Italia Itron for Speedster M,Combination,Italia Machines,Speedster 2 with Two of WVC Humbuckers,1001,1,KR,Default,base,shopper/default,1,Use config,Use config,container1,901.01,"Loud in every sense of the word, the Maranello Speedster manages to combine classy minimalism with exuberant self-confidence. A true 'players' instrument with a fantastic neck, great sustain and awesome tone, delivered via the 'Vintage Voiced' Wilkinson Humbucker. From the 'go-faster' stripes for those fiery solos..... to the checkered flag-taking formula with the ‘go-faster’ Speedster II. The guitar features a distinctive Korina body with 'cut off' upper and lower body horns and a set maple neck, topped off with a ‘speed accessible’ rosewood fingerboard. Don’t miss those go-faster 'accelerating' split-block slim fret markers! Topping off the retro vibe is the solid-mounted Wilkinson Intonated Wrapover Bridge. The Maranello Speedster M comes in the choice of alluring 'Italia-Marbling' color patterns, making a vivid visual and sonic statement of intent.",1,2,,1,0,1,0,0,1,1,1,0,1,1,0,1,0,1,0,1,0,0
Maranello Speedster,configurable,,MRGS,"MRGS-RYL,MRGS-RBK,MRGS-RRD,MRGS-RBL",solid_body,,"Maranello combines the flavor of the Sixties with the sound and playability demanded by todays modern musician.  The Alnico V “Vintage Voiced” Wilkinson Humbuckers mounted in their unique, floating pickguard provide a rich spectrum of tones. The whole Maranello product line are true workhorses -- exquisitely styled, yet built to survive the most rigorous gigging musicians schedule. If creamy-blues, thick jazz or sizzling rock is among your repertoire, then you should check these out. Many top artists already have, including virtuoso blues guitarist Chris Rea, who plays a Maranello Classic.",Action adjustable Bolt on Neck w/Hardrock Maple,22fret Rosewood,25.5in. / 635mm,Agathis Tonewood,Wilkinson WVC Humbuckers w/Tap-coil,Tune-o-matic w/Italia Stop-bar,Italia Machines,Pearloid Back,1001,4,KR,Default,base,shopper/default,1,Use config,Use config,container1,901.01,"Maranello combines the flavor of the Sixties with the sound and playability demanded by todays modern musician.  The Alnico V “Vintage Voiced” Wilkinson Humbuckers mounted in their unique, floating pickguard provide a rich spectrum of tones. The whole Maranello product line are true workhorses -- exquisitely styled, yet built to survive the most rigorous gigging musicians schedule. If creamy-blues, thick jazz or sizzling rock is among your repertoire, then you should check these out. Many top artists already have, including virtuoso blues guitarist Chris Rea, who plays a Maranello Classic.",1,2,,1,0,1,0,0,1,1,1,0,1,1,0,1,0,1,0,1,0,0
Maranello Speedster Xf,simple,XFW,MRGXF-XFW,,solid_body,Speedster White,,Speed accessable Set Neck w/Hardrock Maple,22fret Rosewood,25.5in. / 635mm,Korina,Wilkinson WVC Humbuckers / Italia Itron for Speedster M,Combination,Italia Machines,Speedster 2 with Two of WVC Humbuckers,1001,4,KR,Default,base,shopper/default,1,Use config,Use config,container1,901.01,,1,2,,1,0,1,0,0,1,1,1,0,1,1,0,1,0,1,0,1,0,0
Maranello Speedster Xr,simple,XRG,MRGXR-XRG,,solid_body,Speedster Grey,,Speed accessable Set Neck w/Hardrock Maple,22fret Rosewood,25.5in. / 635mm,Korina,Wilkinson WVC Humbuckers / Italia Itron for Speedster M,Combination,Italia Machines,Speedster 2 with Two of WVC Humbuckers,1001,1,KR,Default,base,shopper/default,1,Use config,Use config,container1,901.01,,1,2,,1,0,1,0,0,1,1,1,0,1,1,0,1,0,1,0,1,0,0
Maranello Speedster Xr,simple,XRD,MRGXR-XRD,,solid_body,Speedster Red,,Speed accessable Set Neck w/Hardrock Maple,22fret Rosewood,25.5in. / 635mm,Korina,Wilkinson WVC Humbuckers / Italia Itron for Speedster M,Combination,Italia Machines,Speedster 2 with Two of WVC Humbuckers,1001,1,KR,Default,base,shopper/default,1,Use config,Use config,container1,901.01,,1,2,,1,0,1,0,0,1,1,1,0,1,1,0,1,0,1,0,1,0,0
Maranello Speedster Xr,configurable,,MRGXR,"MRGXR-XRD,MRGXR-XRG",solid_body,,"Maranello combines the flavor of the Sixties with the sound and playability demanded by todays modern musician.  The Alnico V “Vintage Voiced” Wilkinson Humbuckers mounted in their unique, floating pickguard provide a rich spectrum of tones. The whole Maranello product line are true workhorses -- exquisitely styled, yet built to survive the most rigorous gigging musicians schedule. If creamy-blues, thick jazz or sizzling rock is among your repertoire, then you should check these out. Many top artists already have, including virtuoso blues guitarist Chris Rea, who plays a Maranello Classic.",Action adjustable Bolt on Neck w/Hardrock Maple,22fret Rosewood,25.5in. / 635mm,Agathis Tonewood,Wilkinson WVC Humbuckers w/Tap-coil,Tune-o-matic w/Italia Stop-bar,Italia Machines,Pearloid Back,1001,4,KR,Default,base,shopper/default,1,Use config,Use config,container1,901.01,"Maranello combines the flavor of the Sixties with the sound and playability demanded by todays modern musician.  The Alnico V “Vintage Voiced” Wilkinson Humbuckers mounted in their unique, floating pickguard provide a rich spectrum of tones. The whole Maranello product line are true workhorses -- exquisitely styled, yet built to survive the most rigorous gigging musicians schedule. If creamy-blues, thick jazz or sizzling rock is among your repertoire, then you should check these out. Many top artists already have, including virtuoso blues guitarist Chris Rea, who plays a Maranello Classic.",1,2,,1,0,1,0,0,1,1,1,0,1,1,0,1,0,1,0,1,0,0
Mondial Classic 15th Anniv.,simple,MPR,MOG15-MPR,,semi_hollow_body,Metallic Purple,"The Mondial Classic 15th Anniversary model comes dressed in its royalty purple attire with Gold pickguard and hardware, commanding the respect of its viewers. The ‘Acoustiglass’ top complimented by the brass frets and brass saddles provide unmatched sustain and a royally unique tone that will have the servants bow down in astonishment. ",Action adjustable Bolt on Neck w/Hardrock Maple,22 Brass Fret Rosewood,25.5in. / 635mm,Mahogany w/Fiber Glassy Top,Italia Premier IPCb + IPCn,Wooden Piezo w/Italia Stop-bar,Italia Machines,,1001,4,KR,Default,base,shopper/default,1,Use config,Use config,container1,901.01,"The Mondial Classic 15th Anniversary model comes dressed in its royalty purple attire with Gold pickguard and hardware, commanding the respect of its viewers. The ‘Acoustiglass’ top complimented by the brass frets and brass saddles provide unmatched sustain and a royally unique tone that will have the servants bow down in astonishment. ",1,2,,1,0,1,0,0,1,1,1,0,1,1,0,1,0,1,0,1,0,0
Mondial Classic  ,simple,IBL,MOG-IBL,,semi_hollow_body,Italia Blue,"The distinctive Mondial Classic encapsulates the spirit of the ITALIA product range. Its totally retro while being totally state of the art electronics and hardware. Aside from its gorgeous attire (complete with rubber-bound edges), this is an amazing-sounding instrument. Unique tones abound, courtesy of the special design ‘AcoustiGlass’ top and ITALIA Piezo Jazz-style bridge, which combine with the Wilkinson design ‘Vintage Voiced’ Alnico V Humbuckers to create an incredibly versatile instrument when either on stage or in the studio. Blend the jangle of the acoustic with the sustain of the electric for some incredible tones. Just like the Maranello Deluxe, the Classic will find favor with blues and slide players, singer-songwriters, as well as gigging or studio musicians who want a broad range of tonal options with a single instrument.",Action adjustable Bolt on Neck w/Hardrock Maple,22fret Rosewood,25.5in. / 635mm,Agathis Tonewood w/Fiber Glassy Top,Wilkinson WVC Humbuckers,Wooden Piezo w/Italia Trapeze,Italia Machines,,1001,1,KR,Default,base,shopper/default,1,Use config,Use config,container1,901.01,"The distinctive Mondial Classic encapsulates the spirit of the ITALIA product range. Its totally retro while being totally state of the art electronics and hardware. Aside from its gorgeous attire (complete with rubber-bound edges), this is an amazing-sounding instrument. Unique tones abound, courtesy of the special design ‘AcoustiGlass’ top and ITALIA Piezo Jazz-style bridge, which combine with the Wilkinson design ‘Vintage Voiced’ Alnico V Humbuckers to create an incredibly versatile instrument when either on stage or in the studio. Blend the jangle of the acoustic with the sustain of the electric for some incredible tones. Just like the Maranello Deluxe, the Classic will find favor with blues and slide players, singer-songwriters, as well as gigging or studio musicians who want a broad range of tonal options with a single instrument.",1,2,,1,0,1,0,0,1,1,1,0,1,1,0,1,0,1,0,1,0,0
